stock_id,stock_name,shares,weight,amount,is_new,amount_change,shares_change,weight_change
2330,台積電,3975000.0,8.79,7333875000.0,False,69700000.0,80000.0,-0.1
2383,台光電,2427000.0,7.52,6273795000.0,False,-250665000.0,15000.0,-0.46
2308,台達電,4309000.0,7.02,5860240000.0,False,-80025000.0,20000.0,-0.25
2368,金像電,5600000.0,6.1,5090400000.0,False,-126900000.0,20000.0,-0.28
6223,旺矽,1366000.0,5.84,4869790000.0,False,91490000.0,20000.0,0.0
3017,奇鋐,2572000.0,5.64,4706760000.0,False,-52720000.0,20000.0,-0.18
3653,健策,1297000.0,5.27,4396830000.0,False,350315000.0,50000.0,0.32
2345,智邦,2952000.0,4.92,4103280000.0,False,-3360000.0,60000.0,-0.1
3665,貿聯-KY,2243848.0,4.42,3691129960.0,False,155211640.0,20000.0,0.1
3037,欣興,5952000.0,3.92,3267648000.0,False,244032000.0,0.0,0.22
8046,南電,4656000.0,3.16,2635296000.0,False,287411000.0,97000.0,0.29
2327,國巨*,8794000.0,2.74,2286440000.0,False,112532000.0,368000.0,0.08
6510,精測,590000.0,2.64,2203650000.0,False,-51525000.0,5000.0,-0.12
5274,信驊,205000.0,2.53,2110475000.0,False,-30505000.0,1000.0,-0.09
3661,世芯-KY,589000.0,2.21,1840625000.0,False,-35095000.0,1000.0,-0.08
2449,京元電子,5886000.0,2.03,1695168000.0,False,-43849500.0,1000.0,-0.1
8210,勤誠,1857000.0,1.98,1649016000.0,False,-10248000.0,1000.0,-0.05
6805,富世達,893000.0,1.87,1562750000.0,False,-4465000.0,0.0,-0.05
6515,穎崴,248000.0,1.83,1527680000.0,False,-31000000.0,0.0,-0.08
3711,日月光投控,4258000.0,1.72,1437075000.0,False,-16690500.0,1000.0,-0.06
1303,南亞,15336000.0,1.64,1367971200.0,False,791487200.0,8432000.0,0.93
6669,緯穎,273000.0,1.31,1093365000.0,False,-567195000.0,-135000.0,-0.72
6139,亞翔,1704000.0,1.16,971280000.0,False,83624000.0,10000.0,0.07
2454,聯發科,486000.0,1.0,831060000.0,False,-3140000.0,1000.0,-0.02
6488,環球晶,1700000.0,0.9,748850000.0,False,14032500.0,1000.0,0.0
6274,台燿,1463000.0,0.88,735889000.0,False,8544000.0,1000.0,-0.01
2404,漢唐,573000.0,0.66,552372000.0,False,-25348000.0,1000.0,-0.05
4979,華星光,1219000.0,0.62,520513000.0,False,31084500.0,0.0,0.02
3211,順達,1576000.0,0.58,479892000.0,False,-4420500.0,1000.0,-0.01
8358,金居,1864000.0,0.56,466000000.0,False,15844000.0,0.0,0.01
3189,景碩,1310000.0,0.53,441470000.0,False,115397500.0,283000.0,0.13
1326,台化,8827000.0,0.47,393684200.0,False,393559100.0,8824000.0,0.47
1802,台玻,5996000.0,0.44,369953200.0,False,23984000.0,0.0,0.02
6191,精成科,3399000.0,0.4,337860600.0,False,-240400.0,1000.0,-0.01
3376,新日興,1425000.0,0.37,308512500.0,False,27787500.0,0.0,0.03
3264,欣銓,1789000.0,0.32,270139000.0,False,151000.0,1000.0,-0.01
3324,雙鴻,158000.0,0.2,163530000.0,False,-2105000.0,1000.0,0.0
3533,嘉澤,100000.0,0.2,168500000.0,False,-4750000.0,1000.0,-0.01
8996,高力,151000.0,0.17,139675000.0,False,138776000.0,150000.0,0.17
1319,東陽,1501000.0,0.15,127585000.0,False,-1115000.0,1000.0,-0.01
2002,中鋼,4926000.0,0.11,94332900.0,False,265400.0,1000.0,-0.01
3217,優群,355000.0,0.07,55202500.0,False,-729500.0,1000.0,0.0
3008,大立光,7000.0,0.02,16135000.0,False,2065000.0,1000.0,0.0
2059,川湖,4000.0,0.02,13280000.0,False,3185000.0,1000.0,0.01
2357,華碩,5000.0,0.0,2945000.0,False,589000.0,1000.0,0.0
1815,富喬,2000.0,0.0,220000.0,False,5000.0,0.0,0.0
2439,美律,5000.0,0.0,420500.0,False,81700.0,1000.0,0.0
8299,群聯,1000.0,0.0,1980000.0,False,180000.0,0.0,0.0
3045,台灣大,5000.0,0.0,540000.0,False,114000.0,1000.0,0.0
5536,聖暉*,4000.0,0.0,2744000.0,False,707000.0,1000.0,0.0
2313,華通,4000.0,0.0,884000.0,False,249500.0,1000.0,0.0
3583,辛耘,5000.0,0.0,2027500.0,False,491500.0,1000.0,0.0
