stock_id,stock_name,shares,weight,amount,is_new,amount_change,shares_change,weight_change
2330,台積電,4265000.0,9.44,7975550000.0,False,641675000.0,290000.0,0.65
2383,台光電,2427000.0,7.75,6552900000.0,False,279105000.0,0.0,0.23
2308,台達電,4309000.0,7.34,6204960000.0,False,344720000.0,0.0,0.32
2368,金像電,5600000.0,6.08,5135200000.0,False,44800000.0,0.0,-0.02
3017,奇鋐,2572000.0,5.8,4899660000.0,False,192900000.0,0.0,0.16
6223,旺矽,1366000.0,5.79,4890280000.0,False,20490000.0,0.0,-0.05
3653,健策,1297000.0,5.72,4831325000.0,False,434495000.0,0.0,0.45
2345,智邦,3034000.0,5.22,4414470000.0,False,311190000.0,82000.0,0.3
3665,貿聯-KY,2243848.0,4.62,3904295520.0,False,213165560.0,0.0,0.2
3037,欣興,6505000.0,4.18,3532215000.0,False,264567000.0,553000.0,0.26
2327,國巨*,10251000.0,3.47,2931786000.0,False,645346000.0,1457000.0,0.73
5274,信驊,255000.0,3.42,2886600000.0,False,776125000.0,50000.0,0.89
8046,南電,4656000.0,3.0,2532864000.0,False,-102432000.0,0.0,-0.16
6510,精測,590000.0,2.64,2227250000.0,False,23600000.0,0.0,0.0
3661,世芯-KY,589000.0,2.22,1878910000.0,False,38285000.0,0.0,0.01
2449,京元電子,5886000.0,2.05,1730484000.0,False,35316000.0,0.0,0.02
8210,勤誠,1857000.0,1.94,1636017000.0,False,-12999000.0,0.0,-0.04
6515,穎崴,248000.0,1.94,1641760000.0,False,114080000.0,0.0,0.11
3711,日月光投控,4258000.0,1.72,1456236000.0,False,19161000.0,0.0,0.0
1303,南亞,15336000.0,1.55,1311228000.0,False,-56743200.0,0.0,-0.09
6805,富世達,682000.0,1.41,1190090000.0,False,-372660000.0,-211000.0,-0.46
6139,亞翔,1704000.0,1.17,988320000.0,False,17040000.0,0.0,0.01
2454,聯發科,486000.0,1.0,840780000.0,False,9720000.0,0.0,0.0
6488,環球晶,1700000.0,0.91,765850000.0,False,17000000.0,0.0,0.01
6274,台燿,1463000.0,0.87,738815000.0,False,2926000.0,0.0,-0.01
6669,緯穎,146000.0,0.69,578890000.0,False,-514475000.0,-127000.0,-0.62
2404,漢唐,573000.0,0.63,532317000.0,False,-20055000.0,0.0,-0.03
8358,金居,1864000.0,0.58,490232000.0,False,24232000.0,0.0,0.02
3211,順達,1576000.0,0.57,483832000.0,False,3940000.0,0.0,-0.01
3189,景碩,1310000.0,0.53,447365000.0,False,5895000.0,0.0,0.0
4979,華星光,1115000.0,0.52,440425000.0,False,-80088000.0,-104000.0,-0.1
1326,台化,8827000.0,0.46,390153400.0,False,-3530800.0,0.0,-0.01
1802,台玻,5996000.0,0.44,371752000.0,False,1798800.0,0.0,0.0
2408,南亞科,1305000.0,0.42,354307500.0,True,354307500.0,1305000.0,0.42
6191,精成科,3399000.0,0.41,343299000.0,False,5438400.0,0.0,0.01
3376,新日興,1425000.0,0.38,319200000.0,False,10687500.0,0.0,0.01
8996,高力,315000.0,0.34,289170000.0,False,149495000.0,164000.0,0.17
3264,欣銓,1789000.0,0.33,280873000.0,False,10734000.0,0.0,0.01
3533,嘉澤,100000.0,0.22,182000000.0,False,13500000.0,0.0,0.02
3324,雙鴻,158000.0,0.2,165900000.0,False,2370000.0,0.0,0.0
1319,東陽,1501000.0,0.15,127735100.0,False,150100.0,0.0,0.0
2002,中鋼,4926000.0,0.11,94825500.0,False,492600.0,0.0,0.0
3217,優群,355000.0,0.07,55735000.0,False,532500.0,0.0,0.0
3008,大立光,7000.0,0.02,16800000.0,False,665000.0,0.0,0.0
2059,川湖,4000.0,0.02,13400000.0,False,120000.0,0.0,0.0
2357,華碩,5000.0,0.0,2965000.0,False,20000.0,0.0,0.0
1815,富喬,2000.0,0.0,216000.0,False,-4000.0,0.0,0.0
2439,美律,5000.0,0.0,424000.0,False,3500.0,0.0,0.0
8299,群聯,1000.0,0.0,1945000.0,False,-35000.0,0.0,0.0
3045,台灣大,5000.0,0.0,547500.0,False,7500.0,0.0,0.0
5536,聖暉*,4000.0,0.0,2668000.0,False,-76000.0,0.0,0.0
2313,華通,4000.0,0.0,946000.0,False,62000.0,0.0,0.0
3583,辛耘,5000.0,0.0,2040000.0,False,12500.0,0.0,0.0
