stock_id,stock_name,shares,weight,amount,is_new,amount_change,shares_change,weight_change
2330,台積電,4271000.0,8.66,7901350000.0,False,-234905000.0,0.0,-0.51
2383,台光電,2427000.0,7.69,7014030000.0,False,461130000.0,0.0,0.31
2308,台達電,4309000.0,6.87,6269595000.0,False,-43090000.0,0.0,-0.24
2368,金像電,5600000.0,6.17,5628000000.0,False,492800000.0,0.0,0.38
3017,奇鋐,2572000.0,5.68,5182580000.0,False,424380000.0,0.0,0.32
3653,健策,1297000.0,5.54,5058300000.0,False,-103760000.0,0.0,-0.28
6223,旺矽,1366000.0,5.49,5006390000.0,False,-95620000.0,0.0,-0.26
2345,智邦,3034000.0,5.29,4824060000.0,False,-30340000.0,0.0,-0.18
3037,欣興,7410000.0,4.72,4305210000.0,False,7410000.0,0.0,-0.12
3665,貿聯-KY,2362848.0,4.45,4064098560.0,False,271995440.0,119000.0,0.18
5274,信驊,255000.0,3.37,3072750000.0,False,-75225000.0,0.0,-0.18
2327,國巨*,10251000.0,3.09,2819025000.0,False,-56380500.0,0.0,-0.15
8046,南電,4656000.0,2.86,2612016000.0,False,-27936000.0,0.0,-0.11
2449,京元電子,7062000.0,2.45,2231592000.0,False,-49434000.0,0.0,-0.12
6510,精測,590000.0,2.3,2094500000.0,False,-109150000.0,0.0,-0.18
3661,世芯-KY,589000.0,2.08,1896580000.0,False,-47120000.0,0.0,-0.11
6515,穎崴,248000.0,1.96,1788080000.0,False,-2480000.0,0.0,-0.06
3711,日月光投控,4258000.0,1.62,1477526000.0,False,-44709000.0,0.0,-0.1
8210,勤誠,1621000.0,1.58,1445932000.0,False,3242000.0,0.0,-0.05
6805,富世達,682000.0,1.48,1346950000.0,False,92070000.0,0.0,0.07
1303,南亞,15336000.0,1.42,1291291200.0,False,-30672000.0,0.0,-0.07
3189,景碩,2657000.0,1.12,1018959500.0,False,540154500.0,1347000.0,0.58
6139,亞翔,1704000.0,1.1,1000248000.0,False,3408000.0,0.0,-0.02
6274,台燿,1463000.0,0.94,854392000.0,False,77539000.0,0.0,0.06
2454,聯發科,486000.0,0.89,816480000.0,False,-24300000.0,0.0,-0.06
6488,環球晶,1700000.0,0.88,802400000.0,False,-15300000.0,0.0,-0.04
2404,漢唐,573000.0,0.57,524295000.0,False,-13179000.0,0.0,-0.04
8358,金居,1864000.0,0.55,501416000.0,False,-8388000.0,0.0,-0.02
3211,順達,1576000.0,0.52,478316000.0,False,-2364000.0,0.0,-0.02
5347,世界,3848000.0,0.5,452140000.0,False,210140000.0,1848000.0,0.23
1326,台化,8827000.0,0.45,411338200.0,False,5737550.0,0.0,-0.01
4979,華星光,1036000.0,0.44,405594000.0,False,8806000.0,0.0,-0.01
1802,台玻,5996000.0,0.4,366355600.0,False,-17988000.0,0.0,-0.03
2408,南亞科,1305000.0,0.37,339300000.0,False,-20880000.0,0.0,-0.04
6191,精成科,3399000.0,0.36,331742400.0,False,-9857100.0,0.0,-0.02
3376,新日興,1425000.0,0.36,328462500.0,False,13537500.0,0.0,0.01
8996,高力,315000.0,0.33,299565000.0,False,-315000.0,0.0,-0.01
3264,欣銓,1789000.0,0.3,275506000.0,False,-2683500.0,0.0,-0.01
6669,緯穎,73000.0,0.3,274845000.0,False,-4380000.0,0.0,-0.01
3533,嘉澤,100000.0,0.22,203000000.0,False,11500000.0,0.0,0.0
3324,雙鴻,158000.0,0.19,169060000.0,False,6320000.0,0.0,0.01
1319,東陽,1501000.0,0.13,123082000.0,False,-2851900.0,0.0,-0.01
2002,中鋼,4926000.0,0.1,92608800.0,False,-2463000.0,0.0,-0.01
3217,優群,355000.0,0.06,56267500.0,False,355000.0,0.0,0.0
3008,大立光,7000.0,0.02,16240000.0,False,-840000.0,0.0,0.0
2059,川湖,4000.0,0.02,14300000.0,False,660000.0,0.0,0.0
2357,華碩,5000.0,0.0,2890000.0,False,-80000.0,0.0,0.0
1815,富喬,2000.0,0.0,223000.0,False,-2000.0,0.0,0.0
2439,美律,5000.0,0.0,419000.0,False,-8500.0,0.0,0.0
8299,群聯,1000.0,0.0,1960000.0,False,-15000.0,0.0,0.0
3045,台灣大,5000.0,0.0,547500.0,False,-2500.0,0.0,0.0
5536,聖暉*,4000.0,0.0,2720000.0,False,-12000.0,0.0,0.0
2313,華通,4000.0,0.0,894000.0,False,-26000.0,0.0,0.0
3583,辛耘,5000.0,0.0,2082500.0,False,-5000.0,0.0,0.0
