stock_id,stock_name,shares,weight,amount,is_new,amount_change,shares_change,weight_change
2330,台積電,5023000.0,8.95,8940940000.0,False,72080000.0,150000.0,-0.01
2383,台光電,2636000.0,7.35,7341260000.0,False,-329500000.0,0.0,-0.4
2308,台達電,4369000.0,6.5,6487965000.0,False,-63925000.0,30000.0,-0.12
3017,奇鋐,2976000.0,6.36,6353760000.0,False,-178560000.0,0.0,-0.24
3653,健策,1478000.0,5.76,5749420000.0,False,182300000.0,100000.0,0.13
2345,智邦,3436000.0,5.62,5617860000.0,False,154705000.0,135000.0,0.1
3665,貿聯-KY,2898848.0,5.46,5449834240.0,False,286756960.0,123000.0,0.24
2368,金像電,5931000.0,5.33,5326038000.0,False,-71046000.0,90000.0,-0.12
6223,旺矽,1404000.0,5.25,5243940000.0,False,171580000.0,20000.0,0.12
3037,欣興,7410000.0,3.66,3656835000.0,False,-85215000.0,0.0,-0.12
8046,南電,6057000.0,3.52,3513060000.0,False,317043000.0,360000.0,0.29
5274,信驊,288000.0,3.24,3231360000.0,False,250170000.0,30000.0,0.23
2327,國巨*,10883000.0,2.81,2807814000.0,False,-966000.0,80000.0,-0.03
3711,日月光投控,6059000.0,2.14,2141856500.0,False,7070000.0,20000.0,-0.02
6515,穎崴,268000.0,2.06,2056900000.0,False,-64320000.0,0.0,-0.08
2449,京元電子,7332000.0,2.0,1994304000.0,False,21967000.0,250000.0,0.01
6510,精測,603000.0,2.0,2001960000.0,False,87120000.0,12000.0,0.06
1303,南亞,19643000.0,1.6,1598940200.0,False,330268600.0,2545000.0,0.32
6805,富世達,782000.0,1.43,1431060000.0,False,131850000.0,100000.0,0.12
3211,順達,3999000.0,1.42,1417645500.0,False,-31039500.0,30000.0,-0.04
8210,勤誠,1240000.0,1.11,1109800000.0,False,-216431000.0,-219000.0,-0.23
3189,景碩,2657000.0,0.92,920650500.0,False,-14613500.0,0.0,-0.03
6139,亞翔,1526000.0,0.83,831670000.0,False,-43680000.0,1000.0,-0.05
3661,世芯-KY,274000.0,0.75,753500000.0,False,-277060000.0,-65000.0,-0.29
2454,聯發科,488000.0,0.74,736880000.0,False,-35015000.0,1000.0,-0.04
6488,環球晶,1702000.0,0.74,743774000.0,False,-17423500.0,1000.0,-0.03
5347,世界,5720000.0,0.67,669240000.0,False,-19899500.0,1000.0,-0.03
3443,創意,266000.0,0.62,614460000.0,False,-37440000.0,1000.0,-0.04
6274,台燿,925000.0,0.56,556850000.0,False,27880000.0,80000.0,0.03
2404,漢唐,575000.0,0.48,480700000.0,False,-24420000.0,1000.0,-0.03
8358,金居,1895000.0,0.44,442482500.0,False,477500.0,30000.0,-0.01
1326,台化,9000000.0,0.44,437850000.0,False,47211000.0,172000.0,0.05
8996,高力,485000.0,0.43,434075000.0,False,144300000.0,150000.0,0.14
4979,華星光,1037000.0,0.39,393023000.0,False,-18147500.0,0.0,-0.03
6187,萬潤,388000.0,0.35,349200000.0,False,-26384000.0,0.0,-0.03
3264,欣銓,1890000.0,0.31,306180000.0,False,23360000.0,100000.0,0.02
6191,精成科,3401000.0,0.31,313232100.0,False,-12487900.0,1000.0,-0.02
3376,新日興,1427000.0,0.29,292535000.0,False,-3360000.0,1000.0,-0.01
2408,南亞科,1307000.0,0.29,288193500.0,False,1526500.0,1000.0,0.0
6669,緯穎,75000.0,0.25,252750000.0,False,1520000.0,1000.0,0.0
3324,雙鴻,160000.0,0.15,152960000.0,False,-4927000.0,1000.0,-0.01
1319,東陽,1503000.0,0.12,123246000.0,False,-2020800.0,1000.0,-0.01
2002,中鋼,4928000.0,0.09,94371200.0,False,-2198000.0,1000.0,-0.01
3217,優群,357000.0,0.05,54621000.0,False,-915000.0,1000.0,-0.01
3008,大立光,9000.0,0.02,19620000.0,False,1860000.0,1000.0,0.0
2357,華碩,7000.0,0.0,3934000.0,False,472000.0,1000.0,0.0
1815,富喬,4000.0,0.0,414000.0,False,94500.0,1000.0,0.0
2439,美律,7000.0,0.0,592200.0,False,80400.0,1000.0,0.0
3045,台灣大,7000.0,0.0,763000.0,False,106000.0,1000.0,0.0
2313,華通,6000.0,0.0,1578000.0,False,228000.0,1000.0,0.0
3583,辛耘,7000.0,0.0,3353000.0,False,368000.0,1000.0,0.0
