stock_id,stock_name,shares,weight,amount,is_new,amount_change,shares_change,weight_change
2330,台積電,4271000.0,9.17,8136255000.0,False,160705000.0,6000.0,-0.27
2383,台光電,2427000.0,7.38,6552900000.0,False,0.0,0.0,-0.37
2308,台達電,4309000.0,7.11,6312685000.0,False,107725000.0,0.0,-0.23
3653,健策,1297000.0,5.82,5162060000.0,False,330735000.0,0.0,0.1
2368,金像電,5600000.0,5.79,5135200000.0,False,0.0,0.0,-0.29
6223,旺矽,1366000.0,5.75,5102010000.0,False,211730000.0,0.0,-0.04
2345,智邦,3034000.0,5.47,4854400000.0,False,439930000.0,0.0,0.25
3017,奇鋐,2572000.0,5.36,4758200000.0,False,-141460000.0,0.0,-0.44
3037,欣興,7410000.0,4.84,4297800000.0,False,765585000.0,905000.0,0.66
3665,貿聯-KY,2243848.0,4.27,3792103120.0,False,-112192400.0,0.0,-0.35
5274,信驊,255000.0,3.55,3147975000.0,False,261375000.0,0.0,0.13
2327,國巨*,10251000.0,3.24,2875405500.0,False,-56380500.0,0.0,-0.23
8046,南電,4656000.0,2.97,2639952000.0,False,107088000.0,0.0,-0.03
2449,京元電子,7062000.0,2.57,2281026000.0,False,550542000.0,1176000.0,0.52
6510,精測,590000.0,2.48,2203650000.0,False,-23600000.0,0.0,-0.16
3661,世芯-KY,589000.0,2.19,1943700000.0,False,64790000.0,0.0,-0.03
6515,穎崴,248000.0,2.02,1790560000.0,False,148800000.0,0.0,0.08
3711,日月光投控,4258000.0,1.72,1522235000.0,False,65999000.0,0.0,0.0
8210,勤誠,1621000.0,1.63,1442690000.0,False,-193327000.0,-236000.0,-0.31
1303,南亞,15336000.0,1.49,1321963200.0,False,10735200.0,0.0,-0.06
6805,富世達,682000.0,1.41,1254880000.0,False,64790000.0,0.0,0.0
6139,亞翔,1704000.0,1.12,996840000.0,False,8520000.0,0.0,-0.05
2454,聯發科,486000.0,0.95,840780000.0,False,0.0,0.0,-0.05
6488,環球晶,1700000.0,0.92,817700000.0,False,51850000.0,0.0,0.01
6274,台燿,1463000.0,0.88,776853000.0,False,38038000.0,0.0,0.01
2404,漢唐,573000.0,0.61,537474000.0,False,5157000.0,0.0,-0.02
8358,金居,1864000.0,0.57,509804000.0,False,19572000.0,0.0,-0.01
3211,順達,1576000.0,0.54,480680000.0,False,-3152000.0,0.0,-0.03
3189,景碩,1310000.0,0.54,478805000.0,False,31440000.0,0.0,0.01
1326,台化,8827000.0,0.46,405600650.0,False,15447250.0,0.0,0.0
4979,華星光,1036000.0,0.45,396788000.0,False,-43637000.0,-79000.0,-0.07
1802,台玻,5996000.0,0.43,384343600.0,False,12591600.0,0.0,-0.01
2408,南亞科,1305000.0,0.41,360180000.0,False,5872500.0,0.0,-0.01
6191,精成科,3399000.0,0.38,341599500.0,False,-1699500.0,0.0,-0.03
3376,新日興,1425000.0,0.35,314925000.0,False,-4275000.0,0.0,-0.03
8996,高力,315000.0,0.34,299880000.0,False,10710000.0,0.0,0.0
3264,欣銓,1789000.0,0.31,278189500.0,False,-2683500.0,0.0,-0.02
6669,緯穎,73000.0,0.31,279225000.0,False,-299665000.0,-73000.0,-0.38
5347,世界,2000000.0,0.27,242000000.0,True,242000000.0,2000000.0,0.27
3533,嘉澤,100000.0,0.22,191500000.0,False,9500000.0,0.0,0.0
3324,雙鴻,158000.0,0.18,162740000.0,False,-3160000.0,0.0,-0.02
1319,東陽,1501000.0,0.14,125933900.0,False,-1801200.0,0.0,-0.01
2002,中鋼,4926000.0,0.11,95071800.0,False,246300.0,0.0,0.0
3217,優群,355000.0,0.06,55912500.0,False,177500.0,0.0,-0.01
3008,大立光,7000.0,0.02,17080000.0,False,280000.0,0.0,0.0
2059,川湖,4000.0,0.02,13640000.0,False,240000.0,0.0,0.0
2357,華碩,5000.0,0.0,2970000.0,False,5000.0,0.0,0.0
1815,富喬,2000.0,0.0,225000.0,False,9000.0,0.0,0.0
2439,美律,5000.0,0.0,427500.0,False,3500.0,0.0,0.0
8299,群聯,1000.0,0.0,1975000.0,False,30000.0,0.0,0.0
3045,台灣大,5000.0,0.0,550000.0,False,2500.0,0.0,0.0
5536,聖暉*,4000.0,0.0,2732000.0,False,64000.0,0.0,0.0
2313,華通,4000.0,0.0,920000.0,False,-26000.0,0.0,0.0
3583,辛耘,5000.0,0.0,2087500.0,False,47500.0,0.0,0.0
