stock_id,stock_name,shares,weight,amount,is_new,amount_change,shares_change,weight_change
2330,台積電,4405000.0,8.64,8105200000.0,False,203850000.0,134000.0,-0.02
2383,台光電,2427000.0,7.27,6819870000.0,False,-194160000.0,0.0,-0.42
2308,台達電,4309000.0,6.77,6355775000.0,False,86180000.0,0.0,-0.1
3017,奇鋐,2876000.0,6.28,5895800000.0,False,713220000.0,304000.0,0.6
2368,金像電,5765000.0,6.07,5695820000.0,False,67820000.0,165000.0,-0.1
6223,旺矽,1366000.0,5.62,5272760000.0,False,266370000.0,0.0,0.13
3653,健策,1328000.0,5.45,5112800000.0,False,54500000.0,31000.0,-0.09
2345,智邦,3034000.0,5.21,4884740000.0,False,60680000.0,0.0,-0.08
3665,貿聯-KY,2525848.0,4.91,4609672600.0,False,545574040.0,163000.0,0.46
3037,欣興,7410000.0,4.38,4105140000.0,False,-200070000.0,0.0,-0.34
5274,信驊,255000.0,3.19,2996250000.0,False,-76500000.0,0.0,-0.18
2327,國巨*,10703000.0,3.09,2900513000.0,False,81488000.0,452000.0,0.0
8046,南電,4656000.0,2.68,2518896000.0,False,-93120000.0,0.0,-0.18
2449,京元電子,7062000.0,2.32,2175096000.0,False,-56496000.0,0.0,-0.13
6510,精測,590000.0,2.26,2124000000.0,False,29500000.0,0.0,-0.04
6515,穎崴,248000.0,2.1,1966640000.0,False,178560000.0,0.0,0.14
3661,世芯-KY,530000.0,1.91,1788750000.0,False,-107830000.0,-59000.0,-0.17
8210,勤誠,1621000.0,1.58,1478352000.0,False,32420000.0,0.0,0.0
3711,日月光投控,4258000.0,1.56,1464752000.0,False,-12774000.0,0.0,-0.06
6805,富世達,682000.0,1.45,1364000000.0,False,17050000.0,0.0,-0.03
1303,南亞,15336000.0,1.28,1202342400.0,False,-88948800.0,0.0,-0.14
3189,景碩,2657000.0,1.08,1009660000.0,False,-9299500.0,0.0,-0.04
6139,亞翔,1704000.0,1.08,1010472000.0,False,10224000.0,0.0,-0.02
2454,聯發科,486000.0,0.88,826200000.0,False,9720000.0,0.0,-0.01
6488,環球晶,1700000.0,0.85,797300000.0,False,-5100000.0,0.0,-0.03
3443,創意,245000.0,0.69,648025000.0,True,648025000.0,245000.0,0.69
2404,漢唐,573000.0,0.57,532890000.0,False,8595000.0,0.0,0.0
3211,順達,1576000.0,0.55,512200000.0,False,33884000.0,0.0,0.03
6274,台燿,844000.0,0.5,467576000.0,False,-386816000.0,-619000.0,-0.44
8358,金居,1864000.0,0.49,457612000.0,False,-43804000.0,0.0,-0.06
5347,世界,3848000.0,0.48,446368000.0,False,-5772000.0,0.0,-0.02
4979,華星光,1036000.0,0.45,419062000.0,False,13468000.0,0.0,0.01
1326,台化,8827000.0,0.43,404717950.0,False,-6620250.0,0.0,-0.02
6191,精成科,3399000.0,0.35,326983800.0,False,-4758600.0,0.0,-0.01
3376,新日興,1425000.0,0.34,318487500.0,False,-9975000.0,0.0,-0.02
2408,南亞科,1305000.0,0.33,305370000.0,False,-33930000.0,0.0,-0.04
8996,高力,315000.0,0.31,286965000.0,False,-12600000.0,0.0,-0.02
6669,緯穎,73000.0,0.3,277765000.0,False,2920000.0,0.0,0.0
3264,欣銓,1789000.0,0.29,271928000.0,False,-3578000.0,0.0,-0.01
1802,台玻,3885000.0,0.24,223776000.0,False,-142579600.0,-2111000.0,-0.16
3533,嘉澤,100000.0,0.22,206500000.0,False,3500000.0,0.0,0.0
3324,雙鴻,158000.0,0.18,168270000.0,False,-790000.0,0.0,-0.01
1319,東陽,1501000.0,0.13,124733100.0,False,1651100.0,0.0,0.0
2002,中鋼,4926000.0,0.1,95810700.0,False,3201900.0,0.0,0.0
3217,優群,355000.0,0.06,56622500.0,False,355000.0,0.0,0.0
3008,大立光,7000.0,0.02,16485000.0,False,245000.0,0.0,0.0
2357,華碩,5000.0,0.0,2910000.0,False,20000.0,0.0,0.0
1815,富喬,2000.0,0.0,204000.0,False,-19000.0,0.0,0.0
2439,美律,5000.0,0.0,427500.0,False,8500.0,0.0,0.0
3045,台灣大,5000.0,0.0,545000.0,False,-2500.0,0.0,0.0
5536,聖暉*,4000.0,0.0,2848000.0,False,128000.0,0.0,0.0
2313,華通,4000.0,0.0,888000.0,False,-6000.0,0.0,0.0
3583,辛耘,5000.0,0.0,2150000.0,False,67500.0,0.0,0.0
