stock_id,stock_name,shares,weight,amount,is_new,amount_change,shares_change,weight_change
2330,台積電,3895000.0,9.31,7205750000.0,False,349470000.0,107000.0,0.1
2383,台光電,2412000.0,7.4,5728500000.0,False,819525000.0,155000.0,0.81
2308,台達電,4180000.0,6.97,5392200000.0,False,968480000.0,554000.0,1.03
3653,健策,1247000.0,5.63,4358265000.0,False,551805000.0,50000.0,0.52
3017,奇鋐,2552000.0,5.59,4325640000.0,False,76560000.0,0.0,-0.12
2368,金像電,5150000.0,5.44,4207550000.0,False,964168000.0,888000.0,1.08
2345,智邦,2892000.0,5.36,4150020000.0,False,327420000.0,122000.0,0.23
6223,旺矽,1346000.0,5.2,4024540000.0,False,668060000.0,112000.0,0.69
3665,貿聯-KY,2223848.0,4.5,3480322120.0,False,-66715440.0,0.0,-0.26
6669,緯穎,797000.0,4.08,3156120000.0,False,23910000.0,0.0,-0.13
3037,欣興,5952000.0,3.26,2523648000.0,False,208320000.0,0.0,0.15
2327,國巨*,8426000.0,2.82,2178121000.0,False,185896500.0,409000.0,0.14
6805,富世達,1124000.0,2.54,1967000000.0,False,95540000.0,0.0,0.03
8046,南電,4559000.0,2.52,1951252000.0,False,22795000.0,0.0,-0.07
5274,信驊,204000.0,2.49,1923720000.0,False,36720000.0,0.0,-0.04
3661,世芯-KY,588000.0,2.33,1799280000.0,False,38220000.0,0.0,-0.04
6510,精測,485000.0,2.17,1680525000.0,False,435105000.0,111000.0,0.5
8210,勤誠,1856000.0,2.13,1646272000.0,False,29696000.0,0.0,-0.04
2449,京元電子,5285000.0,2.0,1548505000.0,False,347897000.0,871000.0,0.39
3711,日月光投控,4257000.0,1.85,1428223500.0,False,1013183500.0,2960000.0,1.29
6515,穎崴,248000.0,1.75,1357800000.0,False,122760000.0,0.0,0.09
6139,亞翔,1694000.0,1.13,874104000.0,False,27104000.0,0.0,-0.01
6488,環球晶,1699000.0,0.97,752657000.0,False,24635500.0,0.0,-0.01
2454,聯發科,424000.0,0.93,722920000.0,False,138505000.0,73000.0,0.15
6274,台燿,1462000.0,0.88,682754000.0,False,-705578000.0,-1596000.0,-0.98
2404,漢唐,572000.0,0.77,594880000.0,False,-17160000.0,0.0,-0.05
3211,順達,1575000.0,0.64,494550000.0,False,33075000.0,0.0,0.02
4979,華星光,1219000.0,0.55,425431000.0,False,9142500.0,0.0,-0.01
8358,金居,1864000.0,0.54,419400000.0,False,-13980000.0,0.0,-0.04
6191,精成科,3398000.0,0.41,320091600.0,False,12232800.0,0.0,0.0
1802,台玻,5996000.0,0.4,311792000.0,False,-7195200.0,0.0,-0.03
3376,新日興,1425000.0,0.36,281437500.0,False,10687500.0,0.0,0.0
1303,南亞,3184000.0,0.32,247396800.0,False,11462400.0,0.0,0.0
3324,雙鴻,157000.0,0.19,147266000.0,False,6908000.0,0.0,0.0
1319,東陽,1500000.0,0.17,131400000.0,False,0.0,0.0,-0.01
3264,欣銓,760000.0,0.14,110960000.0,True,110960000.0,760000.0,0.14
2002,中鋼,4925000.0,0.12,94560000.0,False,246250.0,0.0,-0.01
3533,嘉澤,32000.0,0.07,50400000.0,False,2080000.0,0.0,0.01
3217,優群,354000.0,0.07,54162000.0,False,1062000.0,0.0,0.0
3008,大立光,6000.0,0.02,13800000.0,False,90000.0,0.0,0.0
2059,川湖,3000.0,0.01,9180000.0,False,180000.0,0.0,0.0
2357,華碩,4000.0,0.0,2124000.0,False,56000.0,0.0,0.0
8996,高力,1000.0,0.0,769000.0,False,69000.0,0.0,0.0
1815,富喬,2000.0,0.0,201000.0,False,6800.0,0.0,0.0
2439,美律,4000.0,0.0,319200.0,False,-400.0,0.0,0.0
1326,台化,3000.0,0.0,132750.0,False,3600.0,0.0,0.0
8299,群聯,1000.0,0.0,1745000.0,False,140000.0,0.0,0.0
3045,台灣大,4000.0,0.0,426000.0,False,-4000.0,0.0,0.0
5536,聖暉*,3000.0,0.0,2073000.0,False,99000.0,0.0,0.0
2313,華通,3000.0,0.0,573000.0,False,24000.0,0.0,0.0
3583,辛耘,4000.0,0.0,1388000.0,False,88000.0,0.0,0.0
