stock_id,stock_name,shares,weight,amount,is_new,amount_change,shares_change,weight_change
2330,台積電,5428000.0,9.33,10584600000.0,False,488520000.0,0.0,-0.16
2383,台光電,2861000.0,7.99,9069370000.0,False,971175000.0,54000.0,0.37
2308,台達電,4379000.0,6.42,7291035000.0,False,656850000.0,0.0,0.18
3017,奇鋐,3026000.0,5.95,6747980000.0,False,605200000.0,0.0,0.17
2368,金像電,6607000.0,5.81,6593786000.0,False,469097000.0,0.0,0.05
3653,健策,1595000.0,5.64,6395950000.0,False,398750000.0,0.0,0.0
2345,智邦,3646000.0,5.49,6234660000.0,False,346370000.0,0.0,-0.05
3665,貿聯-KY,3052848.0,5.42,6151488720.0,False,76321200.0,0.0,-0.29
6223,旺矽,1414000.0,5.37,6094340000.0,False,551460000.0,0.0,0.16
3037,欣興,8443000.0,4.61,5234660000.0,False,472808000.0,0.0,0.13
8046,南電,7557000.0,4.24,4813809000.0,False,98241000.0,0.0,-0.19
5274,信驊,318000.0,3.53,4011570000.0,False,364110000.0,0.0,0.1
2327,國巨*,11083000.0,2.65,3009034500.0,False,171786500.0,0.0,-0.02
3711,日月光投控,6159000.0,2.08,2358897000.0,False,190929000.0,0.0,0.04
6805,富世達,1130000.0,1.88,2135700000.0,False,45200000.0,0.0,-0.09
2449,京元電子,7512000.0,1.85,2103360000.0,False,90144000.0,0.0,-0.04
6515,穎崴,268000.0,1.84,2093080000.0,False,190280000.0,0.0,0.05
6510,精測,604000.0,1.83,2074740000.0,False,66440000.0,0.0,-0.06
6274,台燿,2670000.0,1.71,1935750000.0,False,256936000.0,212000.0,0.13
1303,南亞,19743000.0,1.48,1680129300.0,False,90817800.0,0.0,-0.01
3211,順達,4086000.0,1.36,1546551000.0,False,87849000.0,0.0,-0.01
3189,景碩,2657000.0,0.92,1046858000.0,False,94323500.0,0.0,0.02
6139,亞翔,1559000.0,0.76,863686000.0,False,57683000.0,0.0,0.0
2454,聯發科,508000.0,0.71,802640000.0,False,55880000.0,0.0,0.01
5347,世界,5845000.0,0.67,765695000.0,False,58450000.0,0.0,0.0
8358,金居,2750000.0,0.65,735625000.0,False,259582500.0,795000.0,0.2
2404,漢唐,764000.0,0.61,690656000.0,False,181931000.0,169000.0,0.13
3661,世芯-KY,233000.0,0.59,666380000.0,False,36115000.0,0.0,0.0
3443,創意,267000.0,0.59,670170000.0,False,38715000.0,0.0,0.0
6488,環球晶,1330000.0,0.51,579880000.0,False,31920000.0,0.0,-0.01
6147,頎邦,5601000.0,0.49,552818700.0,False,49848900.0,0.0,0.02
3264,欣銓,2870000.0,0.42,472115000.0,False,24395000.0,0.0,0.0
8996,高力,515000.0,0.42,474315000.0,False,8755000.0,0.0,-0.02
4979,華星光,1037000.0,0.39,437095500.0,False,17629000.0,0.0,0.0
1326,台化,9001000.0,0.36,405945100.0,False,-4500500.0,0.0,-0.03
6187,萬潤,388000.0,0.34,380240000.0,False,23280000.0,0.0,0.0
6191,精成科,3402000.0,0.28,320808600.0,False,17690400.0,0.0,-0.01
3376,新日興,1428000.0,0.27,302022000.0,False,7854000.0,0.0,-0.01
6669,緯穎,76000.0,0.24,271320000.0,False,13300000.0,0.0,0.0
2481,強茂,1636000.0,0.15,166872000.0,False,-4090000.0,0.0,-0.01
3324,雙鴻,160000.0,0.14,160800000.0,False,13920000.0,0.0,0.0
1319,東陽,1504000.0,0.11,122576000.0,False,2105600.0,0.0,0.0
3583,辛耘,226000.0,0.11,125882000.0,False,29552000.0,36000.0,0.02
2002,中鋼,4929000.0,0.09,98333550.0,False,2218050.0,0.0,0.0
3217,優群,477000.0,0.07,74889000.0,False,1908000.0,0.0,0.0
8210,勤誠,34000.0,0.03,30532000.0,False,-164518000.0,-201000.0,-0.15
3008,大立光,10000.0,0.02,22800000.0,False,1100000.0,0.0,0.0
2357,華碩,8000.0,0.0,4496000.0,False,96000.0,0.0,0.0
1815,富喬,5000.0,0.0,560000.0,False,50000.0,0.0,0.0
2439,美律,8000.0,0.0,704000.0,False,10400.0,0.0,0.0
3045,台灣大,8000.0,0.0,876000.0,False,0.0,0.0,0.0
2313,華通,7000.0,0.0,1918000.0,False,-7000.0,0.0,0.0
